"gender,event,medal,athlete,abb,country,type,year"
"Women,Individual W1/W2,Bronze,HIRASAWA Nako,JPN,Unknown,Archery,2004"
"Women,Individual Standing,Gold,WANG Yanhong,CHN,Unknown,Archery,2004"
"Women,Individual Standing,Silver,KARPMAICHAN Wasana,THA,Unknown,Archery,2004"
"Women,Individual Standing,Bronze,OLEJNIK Malgorzata,POL,Unknown,Archery,2004"
"Men,Teams Open,Gold,JUNG Young Joo,KOR,Korea,Archery,2004"
"Men,Teams Open,Gold,LEE Hak Young,KOR,Korea,Archery,2004"
"Men,Teams Open,Gold,LEE Hong Gu,KOR,Korea,Archery,2004"
"Men,Teams Open,Silver,MINAMI Koichi,JPN,Japan,Archery,2004"
"Men,Teams Open,Silver,ONODERA Kimimasa,JPN,Japan,Archery,2004"
"Men,Teams Open,Silver,SAKODO Shinji,JPN,Japan,Archery,2004"
"Men,Teams Open,Bronze,CROSS Aaron,USA,United States of America,Archery,2004"
"Men,Teams Open,Bronze,FABRY Jeffrey,USA,United States of America,Archery,2004"
"Men,Teams Open,Bronze,STONE Kevin,USA,United States of America,Archery,2004"
"Women,Teams Open,Gold,CHAPMAN Anita,GBR,Great Britain,Archery,2004"
"Women,Teams Open,Gold,PARKER Margaret,GBR,Great Britain,Archery,2004"
"Women,Teams Open,Gold,SMITH Kathleen,GBR,Great Britain,Archery,2004"
"Women,Teams Open,Silver,FANTATO Paola,ITA,Italy,Archery,2004"
"Women,Teams Open,Silver,MENCONI Anna,ITA,Italy,Archery,2004"
"Women,Teams Open,Silver,TRUCCOLO Sandra,ITA,Italy,Archery,2004"
"Women,Teams Open,Bronze,KO Hee Sook,KOR,Korea,Archery,2004"
"Women,Teams Open,Bronze,LEE Hwa Sook,KOR,Korea,Archery,2004"
"Women,Teams Open,Bronze,LEE Kyung Hee,KOR,Korea,Archery,2004"
"Men,Individual Compound W1,Gold,DRAHONINSKY David,CZE,Unknown,Archery,2008"
"Men,Individual Compound W1,Silver,CAVANAGH John,GBR,Unknown,Archery,2008"
"Men,Individual Compound W1,Bronze,FABRY Jeff,USA,Unknown,Archery,2008"
